All arguments: ['/home/najeeb/qurift_satML/pets_tools/run_defense_hsj.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/pilot_credit_output_defense_targets.csv', '--target-id', 'PETS_CREDIT_low_eff_su2_r1_d6_b01__none', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--out-dir', '/home/najeeb/qurift_satML/pets_results/defenses', '--device', 'cuda', '--defense', 'memgq_lattice_sticky', '--hsj-records-per-class', '20', '--max-queries', '512', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='3'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
/home/najeeb/qurift_satML/reviewer_tools/qurift_target_loader.py:320: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(model_path, map_location=device)
[1/40] attack_calibration member=1 distance=0.4396 queries=450
[2/40] attack_calibration member=1 distance=1.1058 queries=386
[3/40] attack_calibration member=1 distance=0.30753 queries=386
[4/40] attack_calibration member=1 distance=0.32634 queries=386
[5/40] attack_calibration member=1 distance=0 queries=0
[6/40] attack_calibration member=1 distance=0.96762 queries=386
[7/40] attack_calibration member=1 distance=0 queries=0
[8/40] attack_calibration member=1 distance=0 queries=0
[9/40] attack_calibration member=1 distance=0.34519 queries=418
[10/40] attack_calibration member=1 distance=0.29995 queries=386
[11/40] attack_calibration member=1 distance=0.33521 queries=386
[12/40] attack_calibration member=1 distance=0.42303 queries=386
[13/40] attack_calibration member=1 distance=0.21662 queries=386
[14/40] attack_calibration member=1 distance=0.35286 queries=386
[15/40] attack_calibration member=1 distance=0.2513 queries=386
[16/40] attack_calibration member=1 distance=0 queries=0
[17/40] attack_calibration member=1 distance=0.27716 queries=418
[18/40] attack_calibration member=1 distance=0 queries=0
[19/40] attack_calibration member=1 distance=0 queries=0
[20/40] attack_calibration member=1 distance=0.37107 queries=386
[21/40] attack_calibration member=0 distance=0.59412 queries=386
[22/40] attack_calibration member=0 distance=0.26195 queries=386
[23/40] attack_calibration member=0 distance=0.37972 queries=450
[24/40] attack_calibration member=0 distance=0.26194 queries=386
[25/40] attack_calibration member=0 distance=0 queries=0
[26/40] attack_calibration member=0 distance=0.70913 queries=450
[27/40] attack_calibration member=0 distance=0 queries=0
[28/40] attack_calibration member=0 distance=0 queries=0
[29/40] attack_calibration member=0 distance=0.49248 queries=418
[30/40] attack_calibration member=0 distance=0.19609 queries=386
[31/40] attack_calibration member=0 distance=0.27299 queries=386
[32/40] attack_calibration member=0 distance=0.26791 queries=386
[33/40] attack_calibration member=0 distance=0.36732 queries=386
[34/40] attack_calibration member=0 distance=0.30682 queries=418
[35/40] attack_calibration member=0 distance=0.48532 queries=386
[36/40] attack_calibration member=0 distance=0 queries=0
[37/40] attack_calibration member=0 distance=0.95098 queries=386
[38/40] attack_calibration member=0 distance=0 queries=0
[39/40] attack_calibration member=0 distance=0 queries=0
[40/40] attack_calibration member=0 distance=0.65292 queries=386
[1/40] final_evaluation member=1 distance=0.05535 queries=386
[2/40] final_evaluation member=1 distance=0.20891 queries=386
[3/40] final_evaluation member=1 distance=0.39694 queries=386
[4/40] final_evaluation member=1 distance=0.49477 queries=386
[5/40] final_evaluation member=1 distance=0.28056 queries=418
[6/40] final_evaluation member=1 distance=0 queries=0
[7/40] final_evaluation member=1 distance=0.024493 queries=386
[8/40] final_evaluation member=1 distance=0 queries=0
[9/40] final_evaluation member=1 distance=0 queries=0
[10/40] final_evaluation member=1 distance=1.0746 queries=386
[11/40] final_evaluation member=1 distance=0.2046 queries=386
[12/40] final_evaluation member=1 distance=0.12048 queries=386
[13/40] final_evaluation member=1 distance=0.43097 queries=386
[14/40] final_evaluation member=1 distance=0.48658 queries=386
[15/40] final_evaluation member=1 distance=0.15982 queries=450
[16/40] final_evaluation member=1 distance=0 queries=0
[17/40] final_evaluation member=1 distance=0.32721 queries=386
[18/40] final_evaluation member=1 distance=0.36209 queries=386
[19/40] final_evaluation member=1 distance=0.40272 queries=418
[20/40] final_evaluation member=1 distance=0 queries=0
[21/40] final_evaluation member=0 distance=0.29177 queries=386
[22/40] final_evaluation member=0 distance=0.47346 queries=386
[23/40] final_evaluation member=0 distance=0.8312 queries=386
[24/40] final_evaluation member=0 distance=0.38512 queries=386
[25/40] final_evaluation member=0 distance=0.45553 queries=386
[26/40] final_evaluation member=0 distance=0 queries=0
[27/40] final_evaluation member=0 distance=0.34644 queries=386
[28/40] final_evaluation member=0 distance=0 queries=0
[29/40] final_evaluation member=0 distance=0 queries=0
[30/40] final_evaluation member=0 distance=0.37826 queries=386
[31/40] final_evaluation member=0 distance=0.44117 queries=386
[32/40] final_evaluation member=0 distance=0.39241 queries=386
[33/40] final_evaluation member=0 distance=0.22669 queries=386
[34/40] final_evaluation member=0 distance=0.55613 queries=386
[35/40] final_evaluation member=0 distance=0.38905 queries=386
[36/40] final_evaluation member=0 distance=0 queries=0
[37/40] final_evaluation member=0 distance=0.14839 queries=386
[38/40] final_evaluation member=0 distance=0.46096 queries=386
[39/40] final_evaluation member=0 distance=0.38377 queries=386
[40/40] final_evaluation member=0 distance=0 queries=0
[DONE] /home/najeeb/qurift_satML/pets_results/defenses/PETS_CREDIT_low_eff_su2_r1_d6_b01__none/hsj/memgq_lattice_sticky_metrics.json
