All arguments: ['/home/najeeb/qurift_satML/pets_tools/run_defense_hsj.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_output_defense_targets.csv', '--target-id', 'PETS_CREDIT_high_eff_su2_r5_d6_b04__none', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--out-dir', '/home/najeeb/qurift_satML/pets_results/defenses', '--device', 'cuda', '--defense', 'memgq_lattice_sticky', '--hsj-records-per-class', '20', '--max-queries', '512', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='5'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
/home/najeeb/qurift_satML/reviewer_tools/qurift_target_loader.py:320: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(model_path, map_location=device)
[1/40] attack_calibration member=1 distance=0.85296 queries=387
[2/40] attack_calibration member=1 distance=0.081014 queries=386
[3/40] attack_calibration member=1 distance=0.0627 queries=386
[4/40] attack_calibration member=1 distance=0.18157 queries=386
[5/40] attack_calibration member=1 distance=0 queries=0
[6/40] attack_calibration member=1 distance=1.381 queries=424
[7/40] attack_calibration member=1 distance=0 queries=0
[8/40] attack_calibration member=1 distance=0 queries=0
[9/40] attack_calibration member=1 distance=2.3232 queries=458
[10/40] attack_calibration member=1 distance=0 queries=0
[11/40] attack_calibration member=1 distance=0.8208 queries=388
[12/40] attack_calibration member=1 distance=0.087379 queries=387
[13/40] attack_calibration member=1 distance=0.22123 queries=389
[14/40] attack_calibration member=1 distance=0.22488 queries=388
[15/40] attack_calibration member=1 distance=1.1843 queries=388
[16/40] attack_calibration member=1 distance=0.0088716 queries=387
[17/40] attack_calibration member=1 distance=2.6214 queries=396
[18/40] attack_calibration member=1 distance=0.0069412 queries=386
[19/40] attack_calibration member=1 distance=0 queries=0
[20/40] attack_calibration member=1 distance=2.3878 queries=388
[21/40] attack_calibration member=0 distance=0.11614 queries=392
[22/40] attack_calibration member=0 distance=1.8289 queries=392
[23/40] attack_calibration member=0 distance=0.049678 queries=387
[24/40] attack_calibration member=0 distance=0.145 queries=386
[25/40] attack_calibration member=0 distance=0 queries=0
[26/40] attack_calibration member=0 distance=0.072344 queries=387
[27/40] attack_calibration member=0 distance=0 queries=0
[28/40] attack_calibration member=0 distance=0.0095129 queries=387
[29/40] attack_calibration member=0 distance=0.20278 queries=386
[30/40] attack_calibration member=0 distance=0.058673 queries=389
