target_id,experiment,dataset,architecture,role,seed,model_seed,data_seed,structural_cell_id,fm_kind,reps,depth,attack,auc,auc_record_ci95_low,auc_record_ci95_high,valid_record_bootstrap_replicates,tpr_at_0_05_fpr,attained_fpr_for_0_05,tpr_at_0_10_fpr,attained_fpr_for_0_10,n_member,n_nonmember,num_reference_models,reference_epochs,reference_candidate_protocol,score_statistic,ci_method,sample_score_file,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,threshold_median,threshold_folds
MNIST_QNN_eff_su2_r1_d6_s43,multiseed_factorial,MNIST,QNN,eff_su2_r1_d6,43,43,43,eff_su2_r1_d6_wd0,eff_su2,1,6,lira_online,0.5176,0.46117375,0.5730349999999999,5000,0.02,0.02,0.1,0.095,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/lira_references/sample_scores/MNIST_QNN_eff_su2_r1_d6_s43.npz,0.525,0.05,0.635,0.585,-0.1022850981885427,5
MNIST_QNN_eff_su2_r1_d6_s43,multiseed_factorial,MNIST,QNN,eff_su2_r1_d6,43,43,43,eff_su2_r1_d6_wd0,eff_su2,1,6,lira_online_fixed_variance,0.539175,0.48072375,0.596350625,5000,0.08,0.05,0.095,0.08,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/lira_references/sample_scores/MNIST_QNN_eff_su2_r1_d6_s43.npz,0.49,-0.02,0.54,0.56,0.0790316726067996,5
MNIST_QNN_eff_su2_r1_d6_s43,multiseed_factorial,MNIST,QNN,eff_su2_r1_d6,43,43,43,eff_su2_r1_d6_wd0,eff_su2,1,6,lira_offline,0.48965,0.432899375,0.5455012499999999,5000,0.03,0.045,0.085,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/lira_references/sample_scores/MNIST_QNN_eff_su2_r1_d6_s43.npz,0.4599999999999999,-0.08,0.7,0.78,0.1319363316523649,5
MNIST_QNN_eff_su2_r1_d6_s43,multiseed_factorial,MNIST,QNN,eff_su2_r1_d6,43,43,43,eff_su2_r1_d6_wd0,eff_su2,1,6,lira_offline_fixed_variance,0.47565,0.41949875,0.5326543749999999,5000,0.065,0.05,0.12,0.095,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/lira_references/sample_scores/MNIST_QNN_eff_su2_r1_d6_s43.npz,0.48,-0.0399999999999999,0.195,0.235,2.6498280651956634,5
MNIST_QNN_eff_su2_r1_d6_s43,multiseed_factorial,MNIST,QNN,eff_su2_r1_d6,43,43,43,eff_su2_r1_d6_wd0,eff_su2,1,6,global_true_class_log_odds,0.542875,0.486246875,0.598703125,5000,0.05,0.035,0.13,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/lira_references/sample_scores/MNIST_QNN_eff_su2_r1_d6_s43.npz,0.5175000000000001,0.0349999999999999,0.48,0.445,0.9872578879405814,5
MNIST_QNN_eff_su2_r1_d6_s44,multiseed_factorial,MNIST,QNN,eff_su2_r1_d6,44,44,43,eff_su2_r1_d6_wd0,eff_su2,1,6,lira_online,0.5472,0.490199375,0.604475,5000,0.065,0.05,0.12,0.09,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/lira_references/sample_scores/MNIST_QNN_eff_su2_r1_d6_s44.npz,0.5025,0.005,0.52,0.515,-0.0809275400378891,5
MNIST_QNN_eff_su2_r1_d6_s44,multiseed_factorial,MNIST,QNN,eff_su2_r1_d6,44,44,43,eff_su2_r1_d6_wd0,eff_su2,1,6,lira_online_fixed_variance,0.574275,0.518024375,0.628900625,5000,0.12,0.05,0.19,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/lira_references/sample_scores/MNIST_QNN_eff_su2_r1_d6_s44.npz,0.5549999999999999,0.11,0.525,0.415,0.1444511135789861,5
MNIST_QNN_eff_su2_r1_d6_s44,multiseed_factorial,MNIST,QNN,eff_su2_r1_d6,44,44,43,eff_su2_r1_d6_wd0,eff_su2,1,6,lira_offline,0.5422,0.485723125,0.59882625,5000,0.085,0.05,0.095,0.09,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/lira_references/sample_scores/MNIST_QNN_eff_su2_r1_d6_s44.npz,0.4775,-0.045,0.415,0.46,0.6756578827854848,5
MNIST_QNN_eff_su2_r1_d6_s44,multiseed_factorial,MNIST,QNN,eff_su2_r1_d6,44,44,43,eff_su2_r1_d6_wd0,eff_su2,1,6,lira_offline_fixed_variance,0.551025,0.493649375,0.6061775,5000,0.085,0.05,0.145,0.09,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/lira_references/sample_scores/MNIST_QNN_eff_su2_r1_d6_s44.npz,0.5425,0.0849999999999999,0.69,0.605,0.2749447280277225,5
MNIST_QNN_eff_su2_r1_d6_s44,multiseed_factorial,MNIST,QNN,eff_su2_r1_d6,44,44,43,eff_su2_r1_d6_wd0,eff_su2,1,6,global_true_class_log_odds,0.532225,0.47532375,0.589553125,5000,0.055,0.05,0.105,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/lira_references/sample_scores/MNIST_QNN_eff_su2_r1_d6_s44.npz,0.4775,-0.0449999999999999,0.275,0.32,2.078645842408944,5
