All arguments: ['/home/najeeb/qurift_satML/pets_tools/run_defense_hsj.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_output_defense_targets.csv', '--target-id', 'PETS_CREDIT_high_eff_su2_r5_d6_b05__none', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--out-dir', '/home/najeeb/qurift_satML/pets_results/defenses', '--device', 'cuda', '--defense', 'dynanoise', '--hsj-records-per-class', '20', '--max-queries', '512', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='3'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
/home/najeeb/qurift_satML/reviewer_tools/qurift_target_loader.py:320: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(model_path, map_location=device)
[1/40] attack_calibration member=1 distance=0 queries=0
[2/40] attack_calibration member=1 distance=0.51472 queries=347
[3/40] attack_calibration member=1 distance=1.4646 queries=364
[4/40] attack_calibration member=1 distance=0.70202 queries=388
[5/40] attack_calibration member=1 distance=0 queries=0
[6/40] attack_calibration member=1 distance=0 queries=0
[7/40] attack_calibration member=1 distance=2.1912e-06 queries=389
[8/40] attack_calibration member=1 distance=6.5008e-06 queries=389
[9/40] attack_calibration member=1 distance=0.094476 queries=345
[10/40] attack_calibration member=1 distance=1.1414 queries=174
[11/40] attack_calibration member=1 distance=0.81573 queries=400
[12/40] attack_calibration member=1 distance=1.1042 queries=179
[13/40] attack_calibration member=1 distance=0.88359 queries=395
[14/40] attack_calibration member=1 distance=1.3122 queries=388
[15/40] attack_calibration member=1 distance=0.37914 queries=214
[16/40] attack_calibration member=1 distance=0 queries=0
[17/40] attack_calibration member=1 distance=0.64072 queries=403
[18/40] attack_calibration member=1 distance=0 queries=0
[19/40] attack_calibration member=1 distance=0 queries=0
[20/40] attack_calibration member=1 distance=0.87519 queries=405
[21/40] attack_calibration member=0 distance=0.13426 queries=401
[22/40] attack_calibration member=0 distance=0 queries=0
[23/40] attack_calibration member=0 distance=0.98524 queries=409
[24/40] attack_calibration member=0 distance=0.69656 queries=261
[25/40] attack_calibration member=0 distance=0 queries=0
[26/40] attack_calibration member=0 distance=1.1186 queries=397
[27/40] attack_calibration member=0 distance=0 queries=391
[28/40] attack_calibration member=0 distance=0 queries=389
[29/40] attack_calibration member=0 distance=1.0144 queries=220
[30/40] attack_calibration member=0 distance=0 queries=0
[31/40] attack_calibration member=0 distance=0.5795 queries=393
[32/40] attack_calibration member=0 distance=0.027483 queries=392
[33/40] attack_calibration member=0 distance=0 queries=0
[34/40] attack_calibration member=0 distance=0 queries=0
[35/40] attack_calibration member=0 distance=0.41532 queries=266
[36/40] attack_calibration member=0 distance=0 queries=0
[37/40] attack_calibration member=0 distance=0.42254 queries=220
[38/40] attack_calibration member=0 distance=0 queries=0
[39/40] attack_calibration member=0 distance=0 queries=0
[40/40] attack_calibration member=0 distance=1.0454 queries=401
[1/40] final_evaluation member=1 distance=0.54601 queries=221
[2/40] final_evaluation member=1 distance=0.47742 queries=389
[3/40] final_evaluation member=1 distance=1.2091 queries=307
[4/40] final_evaluation member=1 distance=0 queries=0
[5/40] final_evaluation member=1 distance=1.3587 queries=269
[6/40] final_evaluation member=1 distance=0 queries=0
[7/40] final_evaluation member=1 distance=0.013243 queries=403
[8/40] final_evaluation member=1 distance=0 queries=0
[9/40] final_evaluation member=1 distance=0.0098238 queries=398
[10/40] final_evaluation member=1 distance=1.0993 queries=402
[11/40] final_evaluation member=1 distance=0.0014408 queries=395
[12/40] final_evaluation member=1 distance=1.2446 queries=215
[13/40] final_evaluation member=1 distance=0.47136 queries=174
[14/40] final_evaluation member=1 distance=1.0934 queries=395
[15/40] final_evaluation member=1 distance=0.87764 queries=84
[16/40] final_evaluation member=1 distance=0 queries=0
[17/40] final_evaluation member=1 distance=0.73252 queries=389
[18/40] final_evaluation member=1 distance=1.9994 queries=131
[19/40] final_evaluation member=1 distance=0.53885 queries=351
[20/40] final_evaluation member=1 distance=0 queries=0
[21/40] final_evaluation member=0 distance=3.1351e-05 queries=391
[22/40] final_evaluation member=0 distance=1.035 queries=392
[23/40] final_evaluation member=0 distance=1.0877 queries=271
[24/40] final_evaluation member=0 distance=0.013817 queries=404
[25/40] final_evaluation member=0 distance=0.94634 queries=401
[26/40] final_evaluation member=0 distance=0 queries=0
[27/40] final_evaluation member=0 distance=0 queries=0
[28/40] final_evaluation member=0 distance=0.019764 queries=395
[29/40] final_evaluation member=0 distance=0 queries=0
[30/40] final_evaluation member=0 distance=0.82127 queries=394
[31/40] final_evaluation member=0 distance=0.88899 queries=219
[32/40] final_evaluation member=0 distance=0.96361 queries=398
[33/40] final_evaluation member=0 distance=0 queries=0
[34/40] final_evaluation member=0 distance=0.32542 queries=396
[35/40] final_evaluation member=0 distance=0.43891 queries=264
[36/40] final_evaluation member=0 distance=0 queries=0
[37/40] final_evaluation member=0 distance=0 queries=0
[38/40] final_evaluation member=0 distance=0.82533 queries=394
[39/40] final_evaluation member=0 distance=0.44378 queries=171
[40/40] final_evaluation member=0 distance=0 queries=0
[DONE] /home/najeeb/qurift_satML/pets_results/defenses/PETS_CREDIT_high_eff_su2_r5_d6_b05__none/hsj/dynanoise_metrics.json
