target_id,defense,partition,record_id,membership,true_label,original_prediction,boundary_distance,initially_correct,adversarial_initialization_found,search_censored,cap_distance,initialization_queries,gradient_queries,step_queries,projection_queries,boundary_queries,iterations_completed,query_budget_exhausted,stopping_reason
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,787c85a205e13b242012,1,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,272c38b1ecd099be7890,1,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,6af56a8b2e15acc1e086,1,0,0,0.08254090696573257,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,39c00d7f6c47885c6fc2,1,0,0,0.16258946061134338,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,0acc109e58c1c7823ce7,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,402e2e33d278085f817f,1,0,0,0.1979738026857376,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,07d4d260e30d7cf5b71f,1,1,1,0.01798844523727894,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,df16a30c67111933fccc,1,1,1,0.13500939309597015,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,ae1704e8283a10912765,1,0,0,0.11274904012680054,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,b95d8aa7591c7887c05c,1,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,5584930e99aa4007d628,1,0,0,0.032306719571352005,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,a5b1091e7ec67f7a06ed,1,0,0,0.030393684282898903,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,e4890079e5df86b99388,1,0,0,0.21040384471416473,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,bd6c7e8fd4e7879e23df,1,0,0,0.3412746787071228,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,bacc1c25b75ae0e1b780,1,0,0,0.12386296689510345,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,aaff47c50ec280d97eda,1,1,1,0.008027580566704273,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,83a947285ea3ca8494da,1,0,0,0.2424265295267105,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,46dbe6ca2f4531385a05,1,1,1,0.10826423019170761,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,d1d396dc69ac0aeade66,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,29a333df83b13ef7fea3,1,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,5ba4fb7c3b97c71d701a,0,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,b5d9c5918402d7422322,0,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,6d32dd00024b64288c47,0,0,0,0.06379620730876923,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,dbb3f0944676a758472a,0,0,0,0.01293881144374609,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,17de222b62ae649ad970,0,1,1,0.22072194516658783,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,500c167f524088e2bc46,0,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,e0cfb8d7d8cf9dc4e69a,0,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,c7e32746df2a48a62ccf,0,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,57e20dc2b384716bf071,0,0,0,0.1428212821483612,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,none,attack_calibration,7a791ab7d3018c779a07,0,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
