target_id,defense,partition,record_id,membership,true_label,original_prediction,boundary_distance,initially_correct,adversarial_initialization_found,search_censored,cap_distance,initialization_queries,gradient_queries,step_queries,projection_queries,boundary_queries,iterations_completed,query_budget_exhausted,stopping_reason
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,4b85b1f42c0154e0d47c,1,0,0,0.30056682229042053,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,fb40711278aca2b43c69,1,0,0,0.24369463324546814,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,4dde24d981dd8981f71f,1,0,0,1.0827711820602417,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,11ccb38ba9653d61e950,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,78edbc6916b12b570866,1,0,0,0.24929068982601166,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,e07f107ec2deef516f4f,1,0,0,0.4420212209224701,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,b91b8614dbf7826436cf,1,0,0,0.27912095189094543,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,eb849709f12c60edd50b,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,006df97946d214e0111f,1,0,0,0.17700648307800293,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,bd6c7e8fd4e7879e23df,1,0,0,0.2800556421279907,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,88b1c0733571d25bdfa5,1,0,0,0.22131197154521942,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,92516ca36411fad7d9c9,1,0,0,0.3303922116756439,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,f1068bd99413d081a271,1,0,0,0.21495796740055084,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,a6dfd0dc4ba32e6c00e6,1,0,0,0.3807414472103119,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,83a947285ea3ca8494da,1,0,0,0.2447257936000824,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,f929be357f68bdda4236,1,0,0,0.33170175552368164,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,6f47824d3363865de61a,1,0,0,0.035375870764255524,True,True,False,4.898979663848877,64,256,10,90,420,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,073dbbd888ef767c75de,1,0,0,0.4508974850177765,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,a5b1091e7ec67f7a06ed,1,0,0,0.22372184693813324,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,14865093b1485a5c3a41,1,0,0,0.3964405059814453,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,fd49901b4cc63c783db2,0,0,0,0.30000239610671997,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,439a4b80869e58e17f79,0,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,249e820049d9be3790b9,0,0,0,0.03673148900270462,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,46d7ad3cd76693d3a5e7,0,0,0,0.22720018029212952,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,ef24ebed9137bf1cf697,0,0,0,0.37738144397735596,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,62a1527c10e3ed85eaa6,0,0,0,0.5844019651412964,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,b5013191fc9f416c8e4b,0,0,0,0.4220268130302429,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,76a169068a2ab6394f63,0,0,0,0.2834309935569763,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,fe3f9ee420efa6823afe,0,0,0,0.3756987750530243,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,6cc8653639d78291af88,0,0,0,0.6545121669769287,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,2810a2f0f8ca0deedc8e,0,0,0,0.7687152624130249,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,a1564c9bf9ade3c0b019,0,0,0,0.5339186787605286,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,f9048c251e4492eda5c5,0,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,3abfa53b007677c95160,0,0,0,0.29151085019111633,True,True,False,4.898979663848877,96,256,8,90,450,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,7f1c52e4fe76a6c0d0b0,0,0,0,0.33261406421661377,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,9da232e18467d7f3a6c8,0,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,8a07ef51bccf7c857429,0,0,0,0.28676116466522217,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,e7a3a64af90cc1920283,0,0,0,0.954644501209259,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,7322e0069fd7f99aa2e0,0,0,0,0.34599828720092773,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,attack_calibration,d9003dc2c5345c666e82,0,0,0,0.3625728487968445,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,final_evaluation,ae429a6a1d645aacb94e,1,0,0,0.9637902975082397,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,final_evaluation,70d271c728323ea28d90,1,0,0,0.3289702236652374,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,final_evaluation,434123980ae7f6c38b02,1,0,0,1.639729619026184,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,final_evaluation,b84ff32b3c14263b0dd5,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,final_evaluation,66fa33821884d4568b02,1,0,0,0.4084594249725342,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,final_evaluation,69ef03b5c6f4f7ecef33,1,0,0,0.4291874170303345,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,final_evaluation,c91e3b5a028c06ad1f92,1,0,0,1.018649697303772,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,final_evaluation,272c38b1ecd099be7890,1,0,0,0.49242398142814636,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,final_evaluation,192395141a760795b97a,1,0,0,0.34266483783721924,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,final_evaluation,ebaf9b6eb6ecde9fb27d,1,0,0,0.28573957085609436,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,final_evaluation,eaab06e0e9770f0cb322,1,0,0,0.050376757979393005,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,final_evaluation,09c28941e61886717e09,1,0,0,0.40178850293159485,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,final_evaluation,092efc45ab978715a8fa,1,0,0,0.36806055903434753,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,final_evaluation,bf5a9031a45524933e21,1,0,0,0.3105281591415405,True,True,False,4.898979663848877,96,256,8,90,450,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,final_evaluation,e8613e68d8ca2ea9e7fd,1,0,0,0.3137136399745941,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,final_evaluation,d606f1831b9734bb90e1,1,0,0,0.3702356815338135,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,memgq_lattice_sticky,final_evaluation,ac5f40db5db91c18a83b,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
