All arguments: ['/home/najeeb/qurift_satML/pets_tools/run_defense_hsj.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_output_defense_targets.csv', '--target-id', 'PETS_CREDIT_high_eff_su2_r5_d6_b04__none', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--out-dir', '/home/najeeb/qurift_satML/pets_results/defenses', '--device', 'cuda', '--defense', 'none', '--hsj-records-per-class', '20', '--max-queries', '512', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='0'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
/home/najeeb/qurift_satML/reviewer_tools/qurift_target_loader.py:320: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(model_path, map_location=device)
[1/40] attack_calibration member=1 distance=0.84433 queries=387
[2/40] attack_calibration member=1 distance=0.083727 queries=386
[3/40] attack_calibration member=1 distance=0.060957 queries=386
[4/40] attack_calibration member=1 distance=0.1883 queries=386
[5/40] attack_calibration member=1 distance=0 queries=0
[6/40] attack_calibration member=1 distance=1.3804 queries=424
[7/40] attack_calibration member=1 distance=0 queries=0
[8/40] attack_calibration member=1 distance=0 queries=0
[9/40] attack_calibration member=1 distance=2.2885 queries=457
[10/40] attack_calibration member=1 distance=0.012078 queries=390
[11/40] attack_calibration member=1 distance=0.71558 queries=389
[12/40] attack_calibration member=1 distance=0.095694 queries=387
[13/40] attack_calibration member=1 distance=0.22898 queries=391
[14/40] attack_calibration member=1 distance=0.22326 queries=388
[15/40] attack_calibration member=1 distance=1.2061 queries=388
[16/40] attack_calibration member=1 distance=0.011441 queries=386
[17/40] attack_calibration member=1 distance=2.668 queries=396
[18/40] attack_calibration member=1 distance=0.0019599 queries=386
[19/40] attack_calibration member=1 distance=0 queries=0
[20/40] attack_calibration member=1 distance=2.3878 queries=388
[21/40] attack_calibration member=0 distance=0.11221 queries=391
[22/40] attack_calibration member=0 distance=1.8521 queries=391
[23/40] attack_calibration member=0 distance=0.052621 queries=387
[24/40] attack_calibration member=0 distance=0.14411 queries=386
[25/40] attack_calibration member=0 distance=0 queries=0
[26/40] attack_calibration member=0 distance=0.051448 queries=390
[27/40] attack_calibration member=0 distance=0 queries=0
[28/40] attack_calibration member=0 distance=0.0083909 queries=386
[29/40] attack_calibration member=0 distance=0.20277 queries=386
[30/40] attack_calibration member=0 distance=0.061967 queries=389
[31/40] attack_calibration member=0 distance=0.05861 queries=386
[32/40] attack_calibration member=0 distance=0.0071464 queries=421
[33/40] attack_calibration member=0 distance=0.21731 queries=387
[34/40] attack_calibration member=0 distance=0.18048 queries=386
[35/40] attack_calibration member=0 distance=1.7795 queries=390
[36/40] attack_calibration member=0 distance=0 queries=0
[37/40] attack_calibration member=0 distance=0.1327 queries=386
[38/40] attack_calibration member=0 distance=0.061249 queries=386
[39/40] attack_calibration member=0 distance=0 queries=0
[40/40] attack_calibration member=0 distance=0.11056 queries=390
[1/40] final_evaluation member=1 distance=0.11163 queries=386
[2/40] final_evaluation member=1 distance=1.3362 queries=386
[3/40] final_evaluation member=1 distance=0.10606 queries=421
[4/40] final_evaluation member=1 distance=0.0016197 queries=386
[5/40] final_evaluation member=1 distance=0.1136 queries=386
[6/40] final_evaluation member=1 distance=0 queries=0
[7/40] final_evaluation member=1 distance=0.075885 queries=388
[8/40] final_evaluation member=1 distance=0 queries=0
[9/40] final_evaluation member=1 distance=0.029939 queries=386
[10/40] final_evaluation member=1 distance=0.0033473 queries=386
[11/40] final_evaluation member=1 distance=1.2948 queries=420
[12/40] final_evaluation member=1 distance=0.27489 queries=390
[13/40] final_evaluation member=1 distance=0.43513 queries=387
[14/40] final_evaluation member=1 distance=0.63245 queries=393
[15/40] final_evaluation member=1 distance=0.86625 queries=390
[16/40] final_evaluation member=1 distance=0 queries=0
