target_id,defense,partition,record_id,membership,true_label,original_prediction,boundary_distance,initially_correct,adversarial_initialization_found,search_censored,cap_distance,initialization_queries,gradient_queries,step_queries,projection_queries,boundary_queries,iterations_completed,query_budget_exhausted,stopping_reason
PETS_CREDIT_high_eff_su2_r5_d6_b03__l2,none,attack_calibration,4b85b1f42c0154e0d47c,1,0,0,0.8973550200462341,True,True,False,4.898979663848877,32,256,13,90,391,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b03__l2,none,attack_calibration,01743ddf295d8f6b5a46,1,0,0,1.8623260259628296,True,True,False,4.898979663848877,32,256,16,90,394,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b03__l2,none,attack_calibration,ce8a11f272895da8cd7f,1,0,0,2.1451315879821777,True,True,False,4.898979663848877,64,256,18,90,428,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b03__l2,none,attack_calibration,39c00d7f6c47885c6fc2,1,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b03__l2,none,attack_calibration,0acc109e58c1c7823ce7,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b03__l2,none,attack_calibration,418dd0dffa2f4aacf5a8,1,0,0,1.3657158613204956,True,True,False,4.898979663848877,32,256,13,90,391,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b03__l2,none,attack_calibration,c490de3382c28742eeb6,1,1,1,0.019911203533411026,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b03__l2,none,attack_calibration,df16a30c67111933fccc,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b03__l2,none,attack_calibration,693c448a296e96fc4d08,1,0,0,0.8022332787513733,True,True,False,4.898979663848877,32,256,11,90,389,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b03__l2,none,attack_calibration,6a75db22a6087741eef2,1,0,0,0.13136497139930725,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b03__l2,none,attack_calibration,39f8154e08ad72170108,1,0,0,0.34052973985671997,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b03__l2,none,attack_calibration,932ae6d0f203c398e4b5,1,0,0,1.3273329734802246,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b03__l2,none,attack_calibration,c9acdb61159286a4c2ce,1,0,0,0.12697221338748932,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b03__l2,none,attack_calibration,f0c1637eb1fa5204c581,1,0,0,1.5347802639007568,True,True,False,4.898979663848877,64,256,9,90,419,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b03__l2,none,attack_calibration,2f5a23022990244c47e8,1,0,0,1.2901673316955566,True,True,False,4.898979663848877,32,256,12,90,390,8,False,iterations_completed
