target_id,defense,partition,record_id,membership,true_label,original_prediction,boundary_distance,initially_correct,adversarial_initialization_found,search_censored,cap_distance,initialization_queries,gradient_queries,step_queries,projection_queries,boundary_queries,iterations_completed,query_budget_exhausted,stopping_reason
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice,attack_calibration,4b85b1f42c0154e0d47c,1,0,0,0.16567252576351166,True,True,False,4.898979663848877,32,256,11,90,389,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice,attack_calibration,fb40711278aca2b43c69,1,0,0,0.2510134279727936,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice,attack_calibration,4dde24d981dd8981f71f,1,0,0,0.4025864601135254,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice,attack_calibration,11ccb38ba9653d61e950,1,1,1,0.023038947954773903,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice,attack_calibration,78edbc6916b12b570866,1,0,0,0.49492955207824707,True,True,False,4.898979663848877,32,256,11,90,389,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice,attack_calibration,e07f107ec2deef516f4f,1,0,0,0.4966217577457428,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice,attack_calibration,b91b8614dbf7826436cf,1,0,0,0.4970717430114746,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice,attack_calibration,eb849709f12c60edd50b,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice,attack_calibration,006df97946d214e0111f,1,0,0,0.41055572032928467,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice,attack_calibration,bd6c7e8fd4e7879e23df,1,0,0,0.2790907621383667,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
