target_id,defense,partition,record_id,membership,true_label,original_prediction,boundary_distance,initially_correct,adversarial_initialization_found,search_censored,cap_distance,initialization_queries,gradient_queries,step_queries,projection_queries,boundary_queries,iterations_completed,query_budget_exhausted,stopping_reason
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,22730a71b34176a3ba37,1,0,0,0.7379530668258667,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,272c38b1ecd099be7890,1,0,0,0.06799207627773285,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,8d289eb2b513288c6cba,1,0,0,0.7463955879211426,True,True,False,4.898979663848877,32,256,13,90,391,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,01e7168ae2a624ff9916,1,0,0,0.752598762512207,True,True,False,4.898979663848877,32,256,12,90,390,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,c50e57ca37a497df3a13,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,402e2e33d278085f817f,1,0,0,0.6973156332969666,True,True,False,4.898979663848877,32,256,11,90,389,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,356e520dcf3a6473ffb2,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,f929be357f68bdda4236,1,1,1,0.030508937314152718,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,16e3ff8c6f696f231824,1,0,0,0.1795552670955658,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,6cab59b4d007e6d2fd01,1,0,0,0.08776893466711044,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,5584930e99aa4007d628,1,0,0,0.6735733151435852,True,True,False,4.898979663848877,32,256,13,90,391,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,02f4daf9ec836b0666ac,1,0,0,0.943385899066925,True,True,False,4.898979663848877,32,256,11,90,389,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,e4890079e5df86b99388,1,0,0,0.7065316438674927,True,True,False,4.898979663848877,32,256,14,90,392,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,2379dd478643b9cc0bc1,1,0,0,0.9685015678405762,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,bacc1c25b75ae0e1b780,1,0,0,0.9346545934677124,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,fbbb0f469e10095b9cc1,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,c0daa10532a8487ca803,1,0,0,1.0208736658096313,True,True,False,4.898979663848877,32,256,12,90,390,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,a5b1091e7ec67f7a06ed,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,none,attack_calibration,1313972ddf1c6e9eb2c9,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
