All arguments: ['/home/najeeb/qurift_satML/pets_tools/run_defense_hsj.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_training_defense_hsj_targets.csv', '--target-id', 'PETS_CREDIT_low_eff_su2_r1_d6_b04__l2', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--out-dir', '/home/najeeb/qurift_satML/pets_results/defenses', '--device', 'cuda', '--defense', 'none', '--hsj-records-per-class', '20', '--max-queries', '512', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='7'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
/home/najeeb/qurift_satML/reviewer_tools/qurift_target_loader.py:320: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(model_path, map_location=device)
[1/40] attack_calibration member=1 distance=0.015515 queries=482
[2/40] attack_calibration member=1 distance=4.899 queries=128
[3/40] attack_calibration member=1 distance=0.12161 queries=450
[4/40] attack_calibration member=1 distance=0.60321 queries=386
[5/40] attack_calibration member=1 distance=0 queries=0
[6/40] attack_calibration member=1 distance=4.899 queries=128
[7/40] attack_calibration member=1 distance=0 queries=0
[8/40] attack_calibration member=1 distance=0.036712 queries=386
[9/40] attack_calibration member=1 distance=0.045945 queries=482
[10/40] attack_calibration member=1 distance=0 queries=0
[11/40] attack_calibration member=1 distance=0.81718 queries=450
[12/40] attack_calibration member=1 distance=0.054881 queries=386
[13/40] attack_calibration member=1 distance=4.899 queries=128
[14/40] attack_calibration member=1 distance=0.34232 queries=418
[15/40] attack_calibration member=1 distance=0.067283 queries=418
[16/40] attack_calibration member=1 distance=0.0089474 queries=386
[17/40] attack_calibration member=1 distance=4.899 queries=128
[18/40] attack_calibration member=1 distance=0.03494 queries=386
[19/40] attack_calibration member=1 distance=0 queries=0
[20/40] attack_calibration member=1 distance=0 queries=0
[21/40] attack_calibration member=0 distance=0 queries=0
[22/40] attack_calibration member=0 distance=4.899 queries=128
[23/40] attack_calibration member=0 distance=4.899 queries=128
[24/40] attack_calibration member=0 distance=0.24168 queries=418
[25/40] attack_calibration member=0 distance=0.044064 queries=386
[26/40] attack_calibration member=0 distance=0 queries=0
[27/40] attack_calibration member=0 distance=0 queries=0
[28/40] attack_calibration member=0 distance=0 queries=0
[29/40] attack_calibration member=0 distance=1.3423 queries=418
[30/40] attack_calibration member=0 distance=0 queries=0
[31/40] attack_calibration member=0 distance=0 queries=0
[32/40] attack_calibration member=0 distance=0 queries=0
[33/40] attack_calibration member=0 distance=4.899 queries=128
[34/40] attack_calibration member=0 distance=4.899 queries=128
[35/40] attack_calibration member=0 distance=0 queries=0
[36/40] attack_calibration member=0 distance=0 queries=0
[37/40] attack_calibration member=0 distance=4.899 queries=128
[38/40] attack_calibration member=0 distance=0.084898 queries=386
[39/40] attack_calibration member=0 distance=0.092079 queries=386
[40/40] attack_calibration member=0 distance=4.899 queries=128
[1/40] final_evaluation member=1 distance=0 queries=0
[2/40] final_evaluation member=1 distance=0.049895 queries=418
[3/40] final_evaluation member=1 distance=4.899 queries=128
[4/40] final_evaluation member=1 distance=0 queries=0
[5/40] final_evaluation member=1 distance=4.899 queries=128
[6/40] final_evaluation member=1 distance=0 queries=0
[7/40] final_evaluation member=1 distance=0 queries=0
[8/40] final_evaluation member=1 distance=0 queries=0
[9/40] final_evaluation member=1 distance=0.023563 queries=386
[10/40] final_evaluation member=1 distance=0 queries=0
[11/40] final_evaluation member=1 distance=1.5005 queries=418
[12/40] final_evaluation member=1 distance=0.16885 queries=450
[13/40] final_evaluation member=1 distance=4.899 queries=128
[14/40] final_evaluation member=1 distance=4.899 queries=128
[15/40] final_evaluation member=1 distance=4.899 queries=128
[16/40] final_evaluation member=1 distance=0.05512 queries=386
[17/40] final_evaluation member=1 distance=0.14688 queries=482
[18/40] final_evaluation member=1 distance=0.058687 queries=482
[19/40] final_evaluation member=1 distance=4.899 queries=128
[20/40] final_evaluation member=1 distance=0 queries=0
[21/40] final_evaluation member=0 distance=0.45315 queries=386
[22/40] final_evaluation member=0 distance=1.3205 queries=386
[23/40] final_evaluation member=0 distance=0.048402 queries=386
[24/40] final_evaluation member=0 distance=0.14176 queries=450
[25/40] final_evaluation member=0 distance=4.899 queries=128
[26/40] final_evaluation member=0 distance=0 queries=0
[27/40] final_evaluation member=0 distance=0 queries=0
[28/40] final_evaluation member=0 distance=0 queries=0
[29/40] final_evaluation member=0 distance=0 queries=0
[30/40] final_evaluation member=0 distance=0.022029 queries=386
[31/40] final_evaluation member=0 distance=4.899 queries=128
[32/40] final_evaluation member=0 distance=0.10009 queries=450
[33/40] final_evaluation member=0 distance=0.31409 queries=450
[34/40] final_evaluation member=0 distance=4.899 queries=128
[35/40] final_evaluation member=0 distance=4.899 queries=128
[36/40] final_evaluation member=0 distance=0 queries=0
