target_id,defense,partition,record_id,membership,true_label,original_prediction,boundary_distance,initially_correct,adversarial_initialization_found,search_censored,cap_distance,initialization_queries,gradient_queries,step_queries,projection_queries,boundary_queries,iterations_completed,query_budget_exhausted,stopping_reason
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,4b85b1f42c0154e0d47c,1,0,0,1.016359567642212,True,True,False,4.898979663848877,32,256,12,90,390,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,fb40711278aca2b43c69,1,0,0,0.2628307640552521,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,4dde24d981dd8981f71f,1,0,0,0.40215155482292175,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,11ccb38ba9653d61e950,1,1,1,0.02768457867205143,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,78edbc6916b12b570866,1,0,0,0.49282628297805786,True,True,False,4.898979663848877,32,256,11,90,389,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,e07f107ec2deef516f4f,1,0,0,0.4929085969924927,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,b91b8614dbf7826436cf,1,0,0,0.5432400703430176,True,True,False,4.898979663848877,32,256,11,90,389,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,eb849709f12c60edd50b,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,006df97946d214e0111f,1,0,0,0.40350446105003357,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,bd6c7e8fd4e7879e23df,1,0,0,0.28569814562797546,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,88b1c0733571d25bdfa5,1,0,0,0.08101783692836761,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,92516ca36411fad7d9c9,1,0,0,0.14518362283706665,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,f1068bd99413d081a271,1,0,0,0.12442995607852936,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,a6dfd0dc4ba32e6c00e6,1,0,0,0.5369989275932312,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,83a947285ea3ca8494da,1,0,0,0.3482290208339691,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,f929be357f68bdda4236,1,0,0,0.3322063982486725,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,6f47824d3363865de61a,1,0,0,0.4874071776866913,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,073dbbd888ef767c75de,1,0,0,0.5097903609275818,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,a5b1091e7ec67f7a06ed,1,0,0,0.2454172521829605,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,14865093b1485a5c3a41,1,0,0,0.28367969393730164,True,True,False,4.898979663848877,32,256,12,90,390,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,fd49901b4cc63c783db2,0,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,439a4b80869e58e17f79,0,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,249e820049d9be3790b9,0,0,0,0.7712370753288269,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,46d7ad3cd76693d3a5e7,0,0,0,0.25771012902259827,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,ef24ebed9137bf1cf697,0,0,0,0.17547446489334106,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,62a1527c10e3ed85eaa6,0,0,0,0.10214465111494064,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,b5013191fc9f416c8e4b,0,0,0,0.09669820219278336,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,76a169068a2ab6394f63,0,0,0,0.10052543133497238,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,fe3f9ee420efa6823afe,0,0,0,0.1946330964565277,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,6cc8653639d78291af88,0,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,2810a2f0f8ca0deedc8e,0,0,0,0.0027448576875030994,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,a1564c9bf9ade3c0b019,0,0,0,0.14766237139701843,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,f9048c251e4492eda5c5,0,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,3abfa53b007677c95160,0,0,0,0.5183974504470825,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,7f1c52e4fe76a6c0d0b0,0,0,0,0.20118504762649536,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,9da232e18467d7f3a6c8,0,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,8a07ef51bccf7c857429,0,0,0,0.557731032371521,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,e7a3a64af90cc1920283,0,0,0,0.3494805693626404,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,7322e0069fd7f99aa2e0,0,0,0,0.4840773940086365,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,attack_calibration,d9003dc2c5345c666e82,0,0,0,0.30127331614494324,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,final_evaluation,ae429a6a1d645aacb94e,1,0,0,0.4037402868270874,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,final_evaluation,70d271c728323ea28d90,1,0,0,0.14429475367069244,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,final_evaluation,434123980ae7f6c38b02,1,0,0,0.380698561668396,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,final_evaluation,b84ff32b3c14263b0dd5,1,1,1,0.020205585286021233,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,final_evaluation,66fa33821884d4568b02,1,0,0,0.11507968604564667,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,final_evaluation,69ef03b5c6f4f7ecef33,1,0,0,0.15220960974693298,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,final_evaluation,c91e3b5a028c06ad1f92,1,0,0,0.20504719018936157,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,final_evaluation,272c38b1ecd099be7890,1,0,0,0.2566593587398529,True,True,False,4.898979663848877,32,256,14,90,392,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,final_evaluation,192395141a760795b97a,1,0,0,0.25428950786590576,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,memgq_lattice_sticky,final_evaluation,ebaf9b6eb6ecde9fb27d,1,0,0,0.0733758732676506,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
