All arguments: ['/home/najeeb/qurift_satML/pets_tools/run_defense_hsj.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/pilot_credit_output_defense_targets.csv', '--target-id', 'PETS_CREDIT_high_eff_su2_r5_d6_b01__none', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--out-dir', '/home/najeeb/qurift_satML/pets_results/defenses', '--device', 'cuda', '--defense', 'dynanoise', '--hsj-records-per-class', '20', '--max-queries', '512', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='5'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
/home/najeeb/qurift_satML/reviewer_tools/qurift_target_loader.py:320: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(model_path, map_location=device)
[1/40] attack_calibration member=1 distance=0.34844 queries=349
[2/40] attack_calibration member=1 distance=1.6874 queries=84
[3/40] attack_calibration member=1 distance=0.56148 queries=306
[4/40] attack_calibration member=1 distance=0.12275 queries=404
[5/40] attack_calibration member=1 distance=0 queries=0
[6/40] attack_calibration member=1 distance=0.48959 queries=214
[7/40] attack_calibration member=1 distance=0 queries=0
[8/40] attack_calibration member=1 distance=0 queries=0
[9/40] attack_calibration member=1 distance=0.83973 queries=393
[10/40] attack_calibration member=1 distance=0.065893 queries=413
[11/40] attack_calibration member=1 distance=0.32799 queries=409
[12/40] attack_calibration member=1 distance=0.54814 queries=395
[13/40] attack_calibration member=1 distance=0.31259 queries=215
[14/40] attack_calibration member=1 distance=0.12311 queries=401
[15/40] attack_calibration member=1 distance=0.43881 queries=390
[16/40] attack_calibration member=1 distance=0 queries=0
[17/40] attack_calibration member=1 distance=0.083662 queries=415
[18/40] attack_calibration member=1 distance=0.0011321 queries=393
[19/40] attack_calibration member=1 distance=0 queries=0
[20/40] attack_calibration member=1 distance=0.12905 queries=407
[21/40] attack_calibration member=0 distance=0 queries=0
[22/40] attack_calibration member=0 distance=0.54437 queries=386
[23/40] attack_calibration member=0 distance=0.32188 queries=396
[24/40] attack_calibration member=0 distance=0.14473 queries=179
[25/40] attack_calibration member=0 distance=0 queries=0
[26/40] attack_calibration member=0 distance=0 queries=0
[27/40] attack_calibration member=0 distance=0 queries=0
[28/40] attack_calibration member=0 distance=0 queries=0
[29/40] attack_calibration member=0 distance=1.0014 queries=176
[30/40] attack_calibration member=0 distance=0 queries=392
[31/40] attack_calibration member=0 distance=0.13285 queries=311
