All arguments: ['/home/najeeb/qurift_satML/pets_tools/run_defense_hsj.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_output_defense_targets.csv', '--target-id', 'PETS_CREDIT_low_eff_su2_r1_d6_b02__none', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--out-dir', '/home/najeeb/qurift_satML/pets_results/defenses', '--device', 'cuda', '--defense', 'dynanoise', '--hsj-records-per-class', '20', '--max-queries', '512', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='1'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
/home/najeeb/qurift_satML/reviewer_tools/qurift_target_loader.py:320: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(model_path, map_location=device)
[1/40] attack_calibration member=1 distance=0.027351 queries=407
[2/40] attack_calibration member=1 distance=0.47695 queries=310
[3/40] attack_calibration member=1 distance=0.3238 queries=423
[4/40] attack_calibration member=1 distance=0.14264 queries=415
[5/40] attack_calibration member=1 distance=0 queries=0
[6/40] attack_calibration member=1 distance=0.059166 queries=422
[7/40] attack_calibration member=1 distance=0 queries=0
[8/40] attack_calibration member=1 distance=0 queries=0
[9/40] attack_calibration member=1 distance=0.51285 queries=229
[10/40] attack_calibration member=1 distance=0.1779 queries=398
[11/40] attack_calibration member=1 distance=0.37488 queries=268
[12/40] attack_calibration member=1 distance=0.33384 queries=353
[13/40] attack_calibration member=1 distance=1.2093 queries=129
[14/40] attack_calibration member=1 distance=1.1466 queries=128
[15/40] attack_calibration member=1 distance=0.18075 queries=402
[16/40] attack_calibration member=1 distance=0 queries=0
[17/40] attack_calibration member=1 distance=0.070382 queries=399
[18/40] attack_calibration member=1 distance=0 queries=0
[19/40] attack_calibration member=1 distance=0 queries=0
[20/40] attack_calibration member=1 distance=0.74018 queries=134
[21/40] attack_calibration member=0 distance=0.16027 queries=259
[22/40] attack_calibration member=0 distance=0 queries=0
[23/40] attack_calibration member=0 distance=1.6752 queries=394
[24/40] attack_calibration member=0 distance=0.22453 queries=399
[25/40] attack_calibration member=0 distance=0 queries=0
[26/40] attack_calibration member=0 distance=0.073862 queries=399
[27/40] attack_calibration member=0 distance=0 queries=0
[28/40] attack_calibration member=0 distance=0 queries=0
[29/40] attack_calibration member=0 distance=0.34918 queries=392
[30/40] attack_calibration member=0 distance=0.1042 queries=398
[31/40] attack_calibration member=0 distance=0.059733 queries=214
[32/40] attack_calibration member=0 distance=0.235 queries=170
[33/40] attack_calibration member=0 distance=0.075207 queries=394
[34/40] attack_calibration member=0 distance=0.94153 queries=84
[35/40] attack_calibration member=0 distance=0.047248 queries=402
[36/40] attack_calibration member=0 distance=0 queries=0
[37/40] attack_calibration member=0 distance=0.033076 queries=302
[38/40] attack_calibration member=0 distance=0 queries=386
[39/40] attack_calibration member=0 distance=0 queries=0
[40/40] attack_calibration member=0 distance=0.17329 queries=398
[1/40] final_evaluation member=1 distance=0.07748 queries=259
[2/40] final_evaluation member=1 distance=0.1542 queries=416
[3/40] final_evaluation member=1 distance=0.81204 queries=171
[4/40] final_evaluation member=1 distance=0.27498 queries=84
[5/40] final_evaluation member=1 distance=0.17235 queries=172
[6/40] final_evaluation member=1 distance=0 queries=0
[7/40] final_evaluation member=1 distance=0.60788 queries=403
[8/40] final_evaluation member=1 distance=0 queries=390
[9/40] final_evaluation member=1 distance=0 queries=0
[10/40] final_evaluation member=1 distance=0.67785 queries=219
[11/40] final_evaluation member=1 distance=0.021014 queries=393
[12/40] final_evaluation member=1 distance=0 queries=0
[13/40] final_evaluation member=1 distance=0.30103 queries=402
[14/40] final_evaluation member=1 distance=0.038917 queries=262
[15/40] final_evaluation member=1 distance=0.093317 queries=399
[16/40] final_evaluation member=1 distance=0 queries=0
[17/40] final_evaluation member=1 distance=0.10408 queries=389
[18/40] final_evaluation member=1 distance=0.010335 queries=128
[19/40] final_evaluation member=1 distance=0.58934 queries=128
[20/40] final_evaluation member=1 distance=0 queries=0
[21/40] final_evaluation member=0 distance=0.35453 queries=397
